# Outside Julian Assange's residence at the Ecuadorian Embassy
SSID, BSS, RSSI, Channel, Time
"", "00:3A:7D:0D:A7:6B", "-85", "40", "16:35:24"
"", "00:3A:7D:0D:A7:6B", "-85", "40", "16:35:27"
"", "00:3A:7D:0D:A7:6B", "-83", "40", "16:35:35"
"", "00:3A:7D:0D:A7:6B", "-83", "40", "16:35:38"
"HP-Print-25-Officejet Pro 8600", "84:34:97:AF:4C:25", "-87", "6", "16:35:24"
"HP-Print-25-Officejet Pro 8600", "84:34:97:AF:4C:25", "-87", "6", "16:35:27"
"HP-Print-25-Officejet Pro 8600", "84:34:97:AF:4C:25", "-85", "6", "16:35:35"
"HP-Print-25-Officejet Pro 8600", "84:34:97:AF:4C:25", "-85", "6", "16:35:38"
"BTWifi-with-FON", "C2:91:F9:42:ED:D6", "-81", "1", "16:35:24"
"BTWifi-with-FON", "C2:91:F9:42:ED:D6", "-81", "1", "16:35:27"
"BTWifi-with-FON", "C2:91:F9:42:ED:D6", "-81", "1", "16:35:35"
"BTWifi-with-FON", "C2:91:F9:42:ED:D6", "-81", "1", "16:35:38"
"SKY2E119", "7C:4C:A5:7E:C2:39", "-79", "3", "16:35:24"
"SKY2E119", "7C:4C:A5:7E:C2:39", "-83", "3", "16:35:27"
"SKY2E119", "7C:4C:A5:7E:C2:39", "-85", "3", "16:35:35"
"SKY2E119", "7C:4C:A5:7E:C2:39", "-85", "3", "16:35:38"
"", "2C:30:33:30:8E:42", "-83", "13", "16:35:24"
"", "2C:30:33:30:8E:42", "-83", "13", "16:35:27"
"", "2C:30:33:30:8E:42", "-83", "13", "16:35:35"
"SKYC623F", "AC:86:74:6E:21:B1", "-90", "48", "16:35:24"
"MB WLAN 59210", "A0:56:B2:91:67:6D", "-78", "6", "16:35:24"
"MB WLAN 59210", "A0:56:B2:91:67:6D", "-78", "6", "16:35:27"
"MB WLAN 59210", "A0:56:B2:91:67:6D", "-78", "6", "16:35:35"
"MB WLAN 59210", "A0:56:B2:91:67:6D", "-78", "6", "16:35:38"
"Harrods Events", "00:3A:7D:0D:A7:62", "-80", "1", "16:35:35"
"Harrods Events", "00:3A:7D:0D:A7:62", "-80", "1", "16:35:38"
"BTWifi-with-FON", "AE:84:C9:AB:FB:75", "-74", "1", "16:35:24"
"BTWifi-with-FON", "AE:84:C9:AB:FB:75", "-74", "1", "16:35:27"
"BTWifi-with-FON", "AE:84:C9:AB:FB:75", "-74", "1", "16:35:35"
"BTWifi-with-FON", "AE:84:C9:AB:FB:75", "-67", "1", "16:35:38"
"TALKTALK9D6F67", "80:71:7A:9D:6F:70", "-77", "9", "16:35:24"
"TALKTALK9D6F67", "80:71:7A:9D:6F:70", "-77", "9", "16:35:27"
"TALKTALK9D6F67", "80:71:7A:9D:6F:70", "-83", "9", "16:35:35"
"TALKTALK9D6F67", "80:71:7A:9D:6F:70", "-83", "9", "16:35:38"
"SKY383CC", "0C:F9:C0:48:86:D3", "-85", "36", "16:35:24"
"SKY383CC", "0C:F9:C0:48:86:D3", "-90", "36", "16:35:27"
"SKY383CC", "0C:F9:C0:48:86:D3", "-90", "36", "16:35:35"
"SKY383CC", "0C:F9:C0:48:86:D3", "-89", "36", "16:35:38"
"SKYDC5C1", "C0:3E:0F:C3:11:15", "-77", "5", "16:35:24"
"SKYDC5C1", "C0:3E:0F:C3:11:15", "-77", "5", "16:35:27"
"SKYDC5C1", "C0:3E:0F:C3:11:15", "-75", "5", "16:35:35"
"SKYDC5C1", "C0:3E:0F:C3:11:15", "-75", "5", "16:35:38"
"", "F4:4E:05:EC:9B:7C", "-81", "132", "16:35:24"
"", "F4:4E:05:EC:9B:7C", "-84", "132", "16:35:27"
"", "F4:4E:05:EC:9B:7C", "-87", "132", "16:35:35"
"", "F4:4E:05:EC:9B:7C", "-86", "132", "16:35:38"
"BTWifi-X", "22:62:2C:09:6C:35", "-79", "48", "16:35:24"
"BTWifi-X", "22:62:2C:09:6C:35", "-82", "48", "16:35:27"
"BTWifi-X", "22:62:2C:09:6C:35", "-87", "48", "16:35:35"
"BTWifi-X", "22:62:2C:09:6C:35", "-87", "48", "16:35:38"
"", "00:3A:7D:D5:BB:FF", "-88", "112", "16:35:35"
"", "00:3A:7D:D5:BB:FF", "-88", "112", "16:35:38"
"BTWifi-X", "32:62:2C:09:6C:34", "-73", "11", "16:35:24"
"BTWifi-X", "32:62:2C:09:6C:34", "-64", "11", "16:35:27"
"BTWifi-X", "32:62:2C:09:6C:34", "-65", "11", "16:35:35"
"BTWifi-X", "32:62:2C:09:6C:34", "-65", "11", "16:35:38"
"Relish_Home_18E043", "1C:49:7B:18:E0:41", "-86", "9", "16:35:35"
"Relish_Home_18E043", "1C:49:7B:18:E0:41", "-86", "9", "16:35:38"
"Choclate_WLAN", "A0:EC:F9:A5:1A:9C", "-87", "60", "16:35:24"
